ID,shape,numAg,massDensity,volAtom,coordinateNumber,lengthBond,errBond,numBond,angle,errAngle,numAngle,nSurfaceAtoms,diameter,aspectRatio,popFCC,popHCP,popICOS,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,Efermi,IP,EA,Eg,popSurface,coordNumberNormalised,amorph
Ag1000-mTO,mTO,1000,8.448,21.201999999999998,10.44,2.964,0.098,0.3229588972743716,96.96,35.93,51408,360,0.626667335798501,0.10977297314977384,0.8875,0.0,0.0,0.0,0.0,0.0,0.133333333,0.333333333,0.066666667,0.46666666700000003,0.0,0.0,-3.8514,4.2860000000000005,3.4169,0.8691,0.36,0.87,0.11250000000000004
Ag1008-DH,DH,1008,7.718,23.209,10.51,2.969,0.096,0.327761491922909,96.62,35.39,52286,401,0.6247291730701834,0.16253448153874553,0.657331137,0.276771005,0.0,0.0,0.0,0.0,0.004987531,0.11471321699999999,0.22942643399999998,0.47880299299999995,0.172069825,0.0,-3.9492,4.3839,3.5146,0.8693,0.3978174603174603,0.8758333333333334,0.06589785800000003
Ag100-DH,DH,100,7.68,23.323,8.88,2.909,0.175,0.025073286346909498,93.42,34.58,3748,77,0.26532536980467397,0.29831650386742636,0.0,0.434782609,0.0,0.0,0.0,0.0,0.15584415599999998,0.194805195,0.25974026,0.38961039,0.0,0.0,-3.687,4.6122,2.7593,1.8529,0.77,0.7400000000000001,0.565217391
Ag1013-mTO,mTO,1013,8.818,20.313,10.4,2.964,0.10300000000000001,0.3259527225098235,96.89,35.8,51858,314,0.637341951681417,0.05522611843000522,0.7939914159999999,0.0,0.0,0.0,0.0,0.0,0.15286624199999999,0.49681528700000005,0.01910828,0.33121019100000004,0.0,0.0,-3.7753,4.2081,3.3425,0.8656,0.3099703849950642,0.8666666666666667,0.2060085840000001
Ag1016-DH,DH,1016,5.617000000000001,31.891,10.47,2.966,0.083,0.32919603318156304,96.71,35.63,52194,432,0.641737788406747,0.2939417190247555,0.650684932,0.282534247,0.0,0.0,0.0,0.0,0.00462963,0.208333333,0.13888888900000002,0.625,0.023148147999999997,0.0,-3.9158,4.3391,3.4926,0.8465,0.4251968503937008,0.8725,0.06678082100000005
Ag101-DH,DH,101,11.562999999999999,15.491,8.81,2.904,0.141,0.025135657705981414,94.07,34.0,3754,72,0.25987189106953285,0.14331455732575746,0.344827586,0.517241379,0.0,0.0,0.0,0.0,0.305555556,0.27777777800000003,0.13888888900000002,0.13888888900000002,0.13888888900000002,0.0,-3.6146,4.5571,2.673,1.8841,0.7128712871287128,0.7341666666666667,0.13793103500000004
Ag1030-HO,HO,1030,7.105,25.211,10.36,2.963,0.107,0.3300692322085698,96.84,35.74,52476,315,0.639628672414711,0.10314159907000024,0.7860139859999999,0.0,0.0,0.0,0.0,0.095238095,0.152380952,0.304761905,0.152380952,0.295238095,0.0,0.0,-3.784,4.2131,3.355,0.8581,0.3058252427184466,0.8633333333333333,0.21398601400000006
Ag1051-DH,DH,1051,4.812,37.223,10.47,2.965,0.083,0.3404228778145076,96.72,35.66,53929,447,0.6538780215926144,0.3483996783200651,0.678807947,0.273178808,0.0,0.0,0.0,0.0,0.004474273,0.20134228199999998,0.156599553,0.62639821,0.011185681999999999,0.0,-3.9556,4.3705,3.5408,0.8297,0.4253092293054234,0.8725,0.04801324499999993
Ag1054-tTR,TR,1054,6.782,26.41,10.36,2.9619999999999997,0.111,0.33792802345163103,97.01,35.94,53664,342,0.6451661562566212,0.13667449563806,0.7640449440000001,0.0,0.0,0.0,0.0,0.0,0.14035087699999999,0.49122807,0.01754386,0.350877193,0.0,0.0,-3.7151,4.1369,3.2933,0.8436,0.32447817836812143,0.8633333333333333,0.23595505599999989
Ag1055-SRC,SRC,1055,9.06,19.771,10.35,2.9619999999999997,0.11199999999999999,0.33792802345163103,96.96,35.79,53850,300,0.6458885730869085,0.053236681264041935,0.7668874170000001,0.0,0.0,0.0,0.0,0.0,0.32,0.44,0.24,0.0,0.0,0.0,-3.7574,4.1836,3.3313,0.8523,0.2843601895734597,0.8624999999999999,0.23311258299999993
Ag105-DH,DH,105,4.974,36.012,8.67,2.9010000000000002,0.165,0.025759371296700556,93.93,34.57,3763,82,0.271437769548373,0.48097746718193474,0.0,0.260869565,0.0,0.0,0.06097561,0.0,0.024390244,0.18292682899999999,0.365853659,0.243902439,0.12195122,0.0,-3.5918,4.501,2.6466,1.8544,0.780952380952381,0.7225,0.739130435
Ag1061-DH,DH,1061,3.958,45.26,10.45,2.964,0.08199999999999999,0.3432295889727437,96.72,35.67,54324,452,0.6587251882080641,0.4130432591375713,0.689655172,0.287356322,0.0,0.0,0.0,0.0,0.004424779,0.15486725699999998,0.221238938,0.6194690270000001,0.0,0.0,-3.969,4.3798,3.5582,0.8216,0.42601319509896324,0.8708333333333332,0.02298850599999991
Ag1067-DH,DH,1067,8.106,22.096,10.55,2.968,0.085,0.34828166905756874,96.76,35.55,55640,419,0.6409102151762068,0.1444878912303558,0.6790123459999999,0.270061728,0.0,0.0,0.0,0.0,0.00477327,0.143198091,0.286396181,0.525059666,0.040572792,0.0,-3.9308,4.3559,3.5057,0.8502,0.39268978444236174,0.8791666666666668,0.05092592600000012
Ag1072-TO,TO,1072,8.509,21.051,10.52,2.967,0.081,0.3491548680845756,96.96,36.03,55656,432,0.6396246184321376,0.12137767100501622,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.166666667,0.666666667,0.0,0.0,-3.9287,4.3541,3.5034,0.8507,0.40298507462686567,0.8766666666666666,0.03749999999999998
Ag1083-DH,DH,1083,8.332,21.499000000000002,10.54,2.969,0.087,0.3533337491423938,96.73,35.52,56386,417,0.6448876340484911,0.11334870111715684,0.623123123,0.250750751,0.0,0.0,0.0,0.0,0.004796163,0.115107914,0.225419664,0.594724221,0.059952038,0.0,-3.9155,4.3821,3.4417,0.9404,0.3850415512465374,0.8783333333333333,0.12612612600000006
Ag1103-DH,DH,1103,8.63,20.756,10.73,2.987,0.141,0.3664317345474958,96.42,35.18,59326,416,0.6468778467214216,0.08091006422050205,0.283842795,0.21834061100000002,0.0,0.0,0.0,0.0,0.004807692,0.072115385,0.288461538,0.384615385,0.25,0.0,-4.0006,4.4234,3.5780000000000003,0.8454,0.3771532184950136,0.8941666666666667,0.497816594
Ag1111-DH,DH,1111,3.313,54.071000000000005,10.42,2.969,0.11800000000000001,0.3585105719453627,96.56,35.55,56604,502,0.6763608663674481,0.4928484841084281,0.336617406,0.221674877,0.0,0.0,0.0,0.009960159,0.003984064,0.069721116,0.199203187,0.239043825,0.478087649,0.0,-3.7869,4.1867,3.3872,0.7995,0.45184518451845185,0.8683333333333333,0.441707717
